news_headline,news_article,news_category
Dua Lipa to perform at first-ever OnePlus Music Festival in India,"International pop star Dua Lipa will perform at the first-ever OnePlus Music Festival set to take place on November 16 in Mumbai. The festival will take place at the DY Patil Stadium, where singer Katy Perry would also be performing. Tickets for the concert are priced at ₹2,000 onwards and will go on sale at 12 pm on September 17.",technology
OnePlus marks 1500 days of OxygenOS with plant a tree campaign,"OnePlus is celebrating 1500 days of OxygenOS and marking the occasion has collaborated with WWF India and their 'Adopt a Tree' campaign. OnePlus will plant one tree for every tweet with #OxygenOS. ""It's been an amazing journey, building great products and software together with the OnePlus community,"" said Szymon Kopec, Product lead at OnePlus in a post on Friday.",technology
Disney CEO resigns from Apple board ahead of Apple TV+ launch,"Walt Disney CEO Bob Iger resigned from Apple's board of directors on September 10, regulatory filings revealed. This comes ahead of the launch of Apple's recently unveiled video streaming subscription service Apple TV+, which stands as a direct rival to the entertainment conglomerate's own service, Disney+. Iger became an Apple director shortly after Apple Co-founder Steve Jobs' death in 2011.",technology
Google confirms its subscription service Play Pass to launch 'soon',"Google took to Twitter to confirm that it's working on a service 'Play Pass', saying, ""It's almost time. Google Play Pass is coming soon."" The service was earlier reported to be in testing, which would offer users ""hundreds of premium apps and games"" for a monthly fee. This comes days after Apple announced its own subscription gaming service 'Apple Arcade'.",technology
"Indian hacker finds Uber account takeover bug, awarded ₹4.6 lakh","Uber has awarded Indian ethical hacker Anand Prakash with ₹4.6 lakh for finding a bug that allowed attackers to take over any Uber user's account. Prakash requested for public disclosure in June and the bug report was then disclosed by Uber on September 9. Prakash, a Forbes' 30 under 30 honoree, is the Founder of cybersecurity company AppSecure.",technology
Facebook not complying with Indian law: TN govt tells SC,"The Tamil Nadu government on Thursday claimed in the Supreme Court that Facebook, alongside other social media companies, isn't complying with the Indian law. It claimed that this is resulting in ""increased lawlessness"" and difficulties in ""detecting crimes"". The Madras High Court was earlier restrained by the SC from passing any effective orders over linking Aadhaar to social media accounts.",technology
Zomato to launch original food-centric video streaming service,"Food delivery giant Zomato has announced a foray into video streaming with ""Zomato Originals"" and will launch 18 original food-centric shows over the next three months, starting September 16. The shows will be available under a new ""Videos"" tab in the Zomato app. Videos will have a 3-15 minute duration and mainly revolve around recipes and 'Sneak Peek' restaurant stories.",technology
Using drones to study Amazon rainforest's health: Harvard team,"Harvard University researchers are using specifically-engineered drones to monitor the effects of climate change on the Amazon rainforest's health. Researchers aim to monitor unique chemical signatures emitted by plants species, which change if they are under stress, in varied ecosystems. They began work in 2017 with Amazonas State University and the Amazonas State Research Support Foundation.",technology
Amazon allegedly lists some toys without confirming their safety,"Amazon allegedly allows the sale of some toys before verifying the ""required safety documentation"", as per an email seen by CNBC. Amazon reportedly asked some sellers for the document to be submitted by September 9, two weeks after they started selling their products. This comes after recent reports which claimed that over 4,000 unsafe products were found listed on Amazon.",technology
"Man cheated of ₹96,000 through fake Google Pay customer care number","A Mumbai man trying to pay electricity bill through Google Pay app was cheated of ₹96,000 by a fraudster who posted his number as Google Pay customer care online. Assuring to resolve the victim's issue, the accused sent a collect request to him and asked him to click on it. It led to a ₹96,000 transfer from the victim's account.",technology
"Security flaw exposes private Instagram posts, Stories to public","A security flaw affecting Facebook-owned Instagram lets users with a basic understanding of a browser and the computer language HTML to publicly access private posts and Stories, BuzzFeed News revealed. A user can pull out the source URL by inspecting a post, which can be shared with others. Facebook responded by saying that the hack is like taking a screenshot.",technology
Apple flashes encrypted 'We love you' text in iPhone 11 launch recap,"Apple flashed a message encrypted in binary in a video recap of its September 10 product launch event. In the flash, Apple said, ""It might be nice to have some sort of easter egg message in here for hardcore Apple fans that'll stop the video."" The translated message read, ""So you took the time to translate this? We love you.""",technology
Google to shut down shopping service 'Express' in next few weeks,"Google, which had earlier announced the shutdown of its US shopping service Google Express, in emails sent to users revealed that it will be closed in a few weeks. The features and functions of Express will be integrated into Google's new, global 'Shopping' platform. The Google Express apps will automatically update to become Google Shopping if already installed by users.",technology
Google One allows auto backup for subscribers using Android,"Google has updated its expanded cloud storage service 'Google One' to allow 'automatic phone backup' option for subscribers using Android devices. Google One will let users automatically back up their multimedia messages (MMS) along with device data, photos and videos, letting them restore conversations on their new Android phones. Google One was launched in 2018.",technology
"YouTuber PewDiePie cancels $50,000 pledge to anti-hate group","YouTuber Felix Kjellberg, known as 'PewDiePie', has pulled back his $50,000 pledge to Anti-Defamation League (ADL), a group that campaigns against anti-Semitism. This follows fans claiming PewDiePie was pressured to make the donation. ""I made the mistake of picking a charity I was advised to, instead of picking [one] I'm personally passionate about, which is 100% my fault,"" Kjellberg said.",technology
YouTube to stop counting views from ads for its Music Charts,"YouTube has announced it will no longer count ""paid advertising views"" while ranking artists on its 'Music Charts' and determining videos eligible for a 24-hour record debut. It said that to improve transparency, the artists will now be ranked based on views from organic plays on YouTube. These include direct video links, search results, embeds, YouTube homepage and Trending section.",technology
Huawei offers to license 5G technologies to Western firms,"China's Huawei has offered to share its 5G technologies with Western firms to ease the security concerns raised by the US. CEO Ren Zhengfei said Huawei would give companies ""perpetual access"" to its existing 5G patents, codes and technical blueprints for a one-time fee. This would create more 5G players and a balance between China and the West, Zhengfei added.
",technology
Google Search results to give prominence to original reporting,"Google has announced it will give better recognition to original news reporting by displaying it prominently in 'Search' results and ensuring it stays there longer. With the updated Search algorithm, readers interested in a piece of news can find where it was originally reported. Google said the move would benefit publishers by expanding the readership of their original news stories.",technology
Google agrees to pay nearly €1 bn to settle French tax probe,"Google has agreed to pay €965 million to settle a tax dispute with France. The settlement, ending a four-year-old financial fraud investigation by authorities into Google's tax affairs and activities in France, comprises a €500-million fine and €465-million additional taxes. In July, France approved a 3% digital tax on about 30 tech giants with over €750 million revenue including Google.",technology
France to block Facebook's Libra cryptocurrency in Europe,"France has said that it will block the development of Facebook's cryptocurrency Libra in Europe. French Finance Minister Bruno Le Maire said, ""All these concerns around Libra are serious,"" citing threat to the ""monetary sovereignty"" of European countries and the risk of abuse of dominant position. This follows reports claiming that Facebook was under a Libra-related EU antitrust investigation.",technology
Music streaming platform JioSaavn raises ₹140 crore from Reliance,"Music streaming platform JioSaavn has raised over ₹140 crore from its parent entity Reliance Industries (RIL). The Mukesh Ambani-led conglomerate had acquired Saavn music app and merged it with its music streaming platform JioMusic to create the billion-dollar JioSaavn platform last year. Saavn had raised $110 million (over ₹780 crore) before the acquisition, as per Crunchbase.",technology
Google adds Maps locator tools to help drug addicts find help ,"Google is adding two new map-related tools to help people suffering from drug addiction by connecting them to support groups or helping to make the life-saving drug Naloxone more accessible. Google launched a website called 'Recover Together', to help about 23 million Americans recover from drug addiction, which includes a 'Recovery Locator Tool' and a 'Naloxone Locator Tool'.",technology
Alexa Auto's new offline capabilities work in remote areas,"Amazon launched a new version of the Alexa Auto SDK that will let users drive through tunnels, parking garages or remote areas without going offline. The new 'Local Voice Control' extension acts as a backup and is meant to increase the resiliency of Alexa's cloud-based capabilities. The feature will allow users in search and navigation as well as car control. 
",technology
Scientists create colour-changing smart skin inspired by chameleons,"Scientists have created a flexible smart skin that can change colour in response to the environment without changing shape. It was created by studying time-lapse videos of chameleons' phase-shifting skin and experiment with embedding photonic crystal arrays into flexible, water-containing polymers. Expanding or contracting the hydrogel changed the spacing in the arrays, leading to colour change.

",technology
Microsoft considers foldable devices with fluid-filled hinges,"Microsoft may develop a clamshell-like device having a foldable display with a liquid or gas-filled hinge, a patent filed by the tech giant revealed. The hinge, which may be used in a Surface device, would reduce strain on the screen along the folding edge and prevent debris from entering. The patent showed ""semi-viscous"" liquid ""slowly moving"" within the hinge's cavity.",technology
"Two nights before giving birth, I was playing tennis: Sania Mirza","Indian tennis player Sania Mirza has revealed that two nights before giving birth to her son Izhaan, she was playing tennis. ""I was like I need this baby to come out. So I was just like...let me play tennis, maybe there's something going to happen,"" she added. ""Well...nothing happened. It was all mental but I felt better,"" she further said.",sports
"Politics does interest me, I want to be Mayor of London: Monty Panesar","England spinner Monty Panesar has said politics interests him and he wants to be Mayor of London. ""Maybe once Sadiq Khan is done, he'll pass the baton on to me for Mayor of London,"" he added. ""We haven't decided the party I will join because I am still playing and hope to return to the Test team,"" he further said.",sports
"Steve Smith literally cannot get out, it's weird: Jofra Archer","Talking about Australia batsman Steve Smith, who set a world record by scoring his 10th straight 50-plus score against England, pacer Jofra Archer said, ""It's weird. Every time he bats, he just, I don't know what it is, he literally cannot get out."" ""Especially if he plays a bad shot, the ball just lands in no man's land,"" he added.",sports
"Jonny Bairstow fakes collecting the ball, forces Steve Smith to dive","During the fourth delivery in 30th over of Australia's first innings in fifth Ashes Test, England wicketkeeper Jonny Bairstow faked collecting the throw to run Steve Smith out. Bairstow's action forced Smith to dive to his crease. Following this, Bairstow smiled for pulling off the trick. ""5 penalty runs as per the laws of the game,"" Jason Gillespie tweeted.",sports
"Russell stretchered off, rushed to hospital after getting hit on head","Jamaica Tallawahs all-rounder Andre Russell was stretchered off after getting hit by the ball on his helmet during their CPL match against St Lucia Zouks on Thursday. The 31-year-old dropped to the ground after getting hit post missing a pull shot on the bowling of Hardus Viljoen. He was rushed to hospital, where he was cleared of any serious injury.",sports
"Smith registers 10th straight 50+ score vs England, breaks world record","Australia batsman Steve Smith slammed his 10th straight 50-plus score against England in Test cricket on Friday, breaking the world record for scoring the most 50-plus scores in a row against a single nation. The previous record was set by Inzamam-ul-Haq, who hit nine consecutive 50-plus scores against England from 2001 to 2006.",sports
Lesson for me: Kohli on his pic that sparked Dhoni's retirement rumours,"Virat Kohli has clarified the reason behind him posting a throwback picture that sparked MS Dhoni's retirement rumours. ""I didn't have anything on my mind. I was just sitting at my home and uploaded the picture. It became news. It's a lesson for me that what I think about myself, the world doesn't necessarily see it that way,"" he said.",sports
Wahab Riaz takes indefinite break from red-ball cricket,"Pakistan fast bowler Wahab Riaz has decided to take an indefinite break from red-ball cricket in order to focus on limited-overs formats. The 34-year-old has withdrawn from the Quaid-e-Azam Trophy, just two days before the start of the tournament. Riaz had made his Test debut for Pakistan in 2010 and has played 27 Tests.",sports
Hong Kong WTA event postponed as court reserved for protests,"The WTA Hong Kong Open has been postponed due to widespread pro-democracy protests. The tournament, scheduled to start from October 5, is played at Victoria Park, which happens to be one of the main gathering points for the mass protests. ""[A] smooth running of the tournament can be better assured at a later time,"" the Hong Kong Tennis Association stated.",sports
India defend lowest total in Youth ODIs to win 7th U-19 Asia Cup,"The Indian team successfully defended the total of 106 to beat Bangladesh by five runs to win their seventh Under-19 Asia Cup title. This is the lowest total successfully defended by any team in Youth ODI cricket. Notably, the Under-19 Asia Cup tournament's final in 2012 was a tie with India and Pakistan being declared the joint-champions.",sports
Excited to play under Virat bhaiya: Shubman Gill on Test call,"Batsman Shubman Gill, who earned his maiden Test call-up for South Africa series, said he is ""excited to play under Virat bhaiya"" and tries to follow Kohli's work ethics. The 20-year-old further said, ""Yuvi paa (Yuvraj Singh) is my inspiration. His journey...is so inspirational."" Gill has an average of 72.15 in first-class cricket and recently captained India A side. ",sports
Kapil Dev to be Haryana’s Sports University's first Chancellor,"India's World Cup-winning captain Kapil Dev is set to be Haryana's Sports University's first Chancellor, state sports minister Anil Vij announced on Saturday. ""Although the final nod for the university is pending with the President of India, but remaining all formalities have been completed,"" Vij added. The university will be India's third sports university established by a state government.",sports
Smith has been the top scorer in all his 6 Ashes 2019 innings,"Steve Smith has been the highest scorer in all the six innings he has appeared to bat in the ongoing Ashes 2019 series. Smith is an innings behind former West Indies cricketer Shivnarine Chanderpaul, who was the top scorer in seven consecutive Test innings. Notably, Smith has also broken Don Bradman's record of most runs in 10 successive Ashes innings.",sports
Rohit Sharma to open in three Tests against South Africa: MSK Prasad,"Team India chief selector MSK Prasad has said that Rohit Sharma has been selected in India's squad for the Test series against South Africa as an opener. ""He will open in the three matches and also for the Board President's XI. We want to give him an opportunity to open the innings in Tests,"" Prasad added.",sports
"Worked my arse off, didn't eat many roasts at home: Mitchell Marsh","Australia's Mitchell Marsh, who took a five-for in fifth Ashes Test, said he made a lot of lifestyle changes to perform better. ""I eat a lot...My mum likes to feed me...I haven't had as many roasts at home in last six months,"" said Marsh, who's playing a Test after eight months. ""I...worked my arse off...to get another opportunity,"" he added.",sports
Porn company bids $10 mn for Miami Heat stadium naming rights,Internet porn company Bang Bros has revealed that they have made a $10 million bid for the naming rights for the Miami Heat home stadium. The move has come after American Airlines stated they won't renew their naming rights deal. The company has stated they intend to change the stadium's name from 'American Airlines Arena' to the 'BangBros Center'.,sports
We've come here to win and leave a mark: David Miller,"Speaking about the upcoming series against hosts India, South African batsman David Miller said, ""We have a young squad and they are all looking ahead to the challenge... [W]e have come here to win and leave a mark."" ""So we are lucky that it's a new phase in South African cricket at the moment,"" Miller added.",sports
Playing Federer or Nadal will be psychologically challenging: Murray,"Former world number one Andy Murray has said he needs four or five months to play top-level tennis and taking on Roger Federer or Rafael Nadal would probably be ""psychologically challenging"". ""I need to be patient and not expect too much too soon,"" he added. The 32-year-old is regaining his fitness after a hip resurfacing procedure in January.",sports
I will have to work harder to get into Test team: Navdeep Saini,"Fast bowler Navdeep Saini, who made his T20I debut against West Indies in Florida, has said that when he was with the team, he realised that he will have to work harder to get into the Test side. ""At the international level error of margin is very less so I learn how to work around it in practice,"" he added.",sports
